id,name,short_name
3,Comunidad Elefante,Elefante
4,Vamos por una Guatemala Diferente,VAMOS
5,TODOS,TODOS
6,"Compromiso, Renovación y Orden",CREO
7,Visión con Valores,VIVA
8,Valor,Valor
9,Partido Unionista,Unionista
10,"Voluntad, Oportunidad y Solidaridad",VOS
11,Unidad Nacional de la Esperanza,UNE
12,Victoria,Victoria
13,Partido Político Nosotros,Nosotros
14,Movimiento Político Winaq - Unidad Revolucionaria Nacional Guatemalteca,Winaq
15,CAMBIO,CAMBIO
16,Partido Azul,Azul
17,Bienestar Nacional,BIEN
2,Cabal,CABAL
