id,name,key
7,Escuintla,escuintla
12,Jutiapa,jutiapa
23,Totonicapán,totonicapan
1,Alta Verapaz,altaverapaz
10,Izabal,izabal
20,Santa Rosa,santarosa
8,Guatemala,guatemala
2,Baja Verapaz,bajaverapaz
11,Jalapa,jalapa
17,Retalhuleu,retalhuleu
18,Sacatepéquez,sacatepequez
19,San Marcos,sanmarcos
14,Petén,peten
5,Chiquimula,chiquimula
21,Sololá,solola
16,Quiché,quiche
4,Chimaltenango,chimaltenango
24,Zacapa,zacapa
22,Suchitepéquez,suchitepequez
15,Quetzaltenango,quetzaltenango
6,El Progreso,elprogreso
9,Huehuetenango,huehuetenango
3,Distrito Central,distritocentral
13,Lista Nacional,listanacional
