id,name,short_name,block_id
6,Movimiento Semilla,Semilla,-1
15,Partido Azul,Azul,16
10,"Voluntad, Oportunidad y Solidaridad",VOS,10
12,Partido Político Nosotros,Nosotros,13
4,Vamos por una Guatemala Diferente,VAMOS,4
5,Valor,Valor,8
14,CAMBIO,CAMBIO,15
7,TODOS,TODOS,5
9,Visión con Valores,VIVA,7
3,Comunidad Elefante,Elefante,3
16,Bienestar Nacional,BIEN,17
2,Partido Unionista,Unionista,9
1,Unidad Nacional de la Esperanza,UNE,11
11,Victoria,Victoria,12
13,Movimiento Político Winaq - Unidad Revolucionaria Nacional Guatemalteca,Winaq,14
8,"Compromiso, Renovación y Orden",CREO,6
17,Cabal,CABAL,2
